1	69.4	15	3.49	4.63	35.1	3.35	0	12	15	13	7	0.1	0.02	5	60	3	1	50	50	
2	7.4	18	1.08	0.41	33.7	3.28	0	8	9	9	15	0.1	0.02	5	60	3	1	50	50	
3	1.6	22	1.02	0.07	40.7	3.90	0	4	11	16	7	0.1	0.02	5	60	3	1	50	50	
4	2.9	18	1.04	0.16	66	6.35	0	9	27	14	1	0.1	0.02	5	60	3	1	50	50	
5	28.2	18	1.51	1.57	39.1	3.75	0	10	16	19	6	0.1	0.02	5	60	3	1	50	50	
6	39.6	18	1.84	2.2	38.1	3.61	0	6	19	17	3	0.1	0.02	5	60	3	1	50	50	
7	34.6	18	1.64	1.92	48.1	4.54	0	7	28	3	3	0.1	0.02	5	60	3	1	50	50	
8	79.7	13	10.16	6.13	29.3	2.79	0	14	26	5	9	0.1	0.02	5	60	3	1	50	50	
9	78.8	10	5.17	7.88	39.3	3.75	0	15	12	13	17	0.1	0.02	5	60	3	1	50	50	
10	79.7	13	10.16	6.13	29.3	2.79	0	14	25	18	11	0.1	0.02	5	60	3	1	50	50	
11	93.7	13	12.57	7.21	27.3	2.60	0	12	23	9	13	0.1	0.02	5	60	3	1	50	50	
12	33.9	15	1.41	2.26	32.9	3.15	0	3	11	12	19	0.1	0.02	5	60	3	1	50	50	
13	90.4	11	11.89	8.22	27.3	2.60	0	12	30	3	15	0.1	0.02	5	60	3	1	50	50	
14	76.7	13	8.17	5.9	30.3	2.89	0	15	25	3	13	0.1	0.02	5	60	3	1	50	50	
15	71.1	10	3.39	7.11	43.1	4.02	0	7	23	12	19	0.1	0.02	5	60	3	1	50	50	
16	34.5	21	1.51	1.64	30.1	2.92	0	4	13	10	1	0.1	0.02	5	60	3	1	50	50	
17	40.7	18	1.74	2.26	47.1	4.45	0	5	29	16	3	0.1	0.02	5	60	3	1	50	50	
18	14.9	17	1.17	0.88	33.5	3.20	0	5	8	3	19	0.1	0.02	5	60	3	1	50	50	
19	36.6	18	1.7	2.03	46.1	4.36	0	7	26	2	6	0.1	0.02	5	60	3	1	50	50	
20	35.6	22	1.46	1.62	31.7	3.00	0	4	10	13	6	0.1	0.02	5	60	3	1	50	50	
21	35.6	18	1.67	1.98	47.1	4.45	0	7	27	13	5	0.1	0.02	5	60	3	1	50	50	
22	63.8	19	2.07	3.36	32.1	3.08	0	2	17	6	5	0.1	0.02	5	60	3	1	50	50	
23	3.1	19	1.05	0.16	43	4.11	0	15	8	10	5	0.1	0.02	5	60	3	1	50	50	
24	26.3	15	1.35	1.75	37.4	3.57	0	8	10	9	17	0.1	0.02	5	60	3	1	50	50	
25	65	15	2.49	4.33	37.1	3.50	0	8	16	10	12	0.1	0.02	5	60	3	1	50	50	
26	29.6	15	1.39	1.97	37.4	3.57	0	8	10	3	18	0.1	0.02	5	60	3	1	50	50	
27	14.8	19	1.15	0.78	32.7	3.12	0	5	8	4	15	0.1	0.02	5	60	3	1	50	50	
28	76.7	13	8.17	5.9	30.3	2.89	0	15	26	10	13	0.1	0.02	5	60	3	1	50	50	
29	43.6	22	1.62	1.98	29.7	2.81	0	4	9	16	6	0.1	0.02	5	60	3	1	50	50	
30	4.8	24	1.05	0.2	38.3	3.67	0	4	8	19	7	0.1	0.02	5	60	3	1	50	50	
31	93.7	13	12.57	7.21	27.3	2.60	0	12	27	5	13	0.1	0.02	5	60	3	1	50	50	
32	64	12	3.55	5.33	42.3	4.03	0	15	15	7	15	0.1	0.02	5	60	3	1	50	50	
33	21.4	19	1.35	1.13	47	4.55	0	8	19	17	1	0.1	0.02	5	60	3	1	50	50	
